Unnamed: 0,LATITUDE_A,LONGITUDE_A,ELEVATION_A,PRCP_A,SNWD_A,TMAX_A,TMIN_A,TAVG_A,LATITUDE_B,LONGITUDE_B,ELEVATION_B,PRCP_B,SNWD_B,TMAX_B,TMIN_B,TAVG_B,LATITUDE_C,LONGITUDE_C,ELEVATION_C,PRCP_C,SNWD_C,TMAX_C,TMIN_C,TAVG_C,LATITUDE,LONGITUDE,TAVG,DAY_OF_WEEK,MONTH,DAY_OF_YEAR,YEAR,IS_WEEKEND,DAY_SIN,DAY_COS,MONTH_SIN,MONTH_COS,DISTANCE_AB,DISTANCE_AC,DISTANCE_BC,ELEV_DIFF_AB,ELEV_DIFF_AC,ELEV_DIFF_BC,TEMP_DIFF_A,TEMP_DIFF_B,TEMP_DIFF_C,AVG_TEMP_A,AVG_TEMP_B,AVG_TEMP_C,CUMULATIVE_PRCP,CUMULATIVE_SNWD,TEMP_RANGE,TEMP_ANOMALY_A,TEMP_ANOMALY_B,TEMP_ANOMALY_C,LAT_LONG_INTERACT_A,LAT_LONG_INTERACT_B,LAT_LONG_INTERACT_C,ELEV_TEMP_INTERACT_A,ELEV_TEMP_INTERACT_B,ELEV_TEMP_INTERACT_C,PRCP_INTERACT_AB,PRCP_INTERACT_AC,PRCP_INTERACT_BC,MEAN_TEMP,VAR_TEMP,MEDIAN_TEMP,MEAN_PRCP,VAR_PRCP,MEDIAN_PRCP,TAVG_A_LAG1,TAVG_B_LAG1,TAVG_C_LAG1,PRCP_A_LAG1,PRCP_B_LAG1,PRCP_C_LAG1,ROLLING_MEAN_TEMP_A,ROLLING_MEAN_TEMP_B,ROLLING_MEAN_TEMP_C,ROLLING_MEAN_PRCP_A,ROLLING_MEAN_PRCP_B,ROLLING_MEAN_PRCP_C,LOCATION_CLUSTER,DATE
0.0,63.88,77.52,128.0,0.7565698003612008,0.0,17.6,18.347301693292376,12.96,62.95,79.82,66.0,0.0,3.93,17.12,29.84,9.9,63.08,78.93,64.0,0.0,0.0,18.7,12.79078343646197,12.742623369447188,63.933,78.733,9.3,3.0,11.0,305.0,1979.0,0.0,-0.8605996962501181,0.5092820071573356,-0.5000000000000004,0.8660254037844384,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,-3.2662035861742256,-12.719999999999999,5.850765544958131,17.6,23.48,18.7,0.0,3.93,-11.14,2.6170283775268732,8.497028377526872,3.717028377526871,4951.9776,5024.669,4978.9044,1658.88,653.4,766.5678925762988,0.5181702673908308,15.300799806961562,0.0,11.43,4.681800000000002,11.43,0.0,0.0,0.0,23.40204396834835,30.65238630192945,31.51808580985233,38.698806111939405,13.504261001362693,39.623671199282256,17.24293485031061,24.519873586516276,21.370181544447355,9.602726087961493,6.235559291070132,11.883158436772327,0.0,1979-11-01
1.0,63.88,77.52,128.0,0.6815415037637412,0.0,8.8,11.915364173538155,0.0,62.95,79.82,66.0,0.0,0.0,10.49,-4.64,1.1,63.08,78.93,64.0,0.0,0.0,11.0,-3.8,2.04,63.933,78.733,2.7,1.0,11.0,317.0,1979.0,0.0,-0.7379428103031386,0.6748632518680403,-0.5000000000000004,0.8660254037844384,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,-1.8732293646012672,15.129999999999999,14.8,8.8,2.9250000000000003,3.6,0.0,0.0,15.64,-6.1829716224731275,-12.057971622473127,-11.382971622473129,4951.9776,5024.669,4978.9044,0.0,72.60000000000001,130.56,15.294049977502072,23.533696781622623,0.0,1.0466666666666666,1.0425333333333333,1.1,0.0,0.0,0.0,12.96,9.9,15.378610235251031,-0.24359643060832248,0.0,0.0,8.66146925856897,12.020416975143162,10.983567803031278,5.771142574832952,0.7920908504440021,0.8215858486519221,0.0,1979-11-13
2.0,63.88,77.52,128.0,0.6813107914398254,0.0,-9.9,-11.934307980456811,-17.76,62.95,79.82,66.0,0.0,0.0,-9.31,-17.52,-17.6,63.08,78.93,64.0,0.0,0.0,9.074175031197814,-0.20754848107378376,-16.56,63.933,78.733,-16.0,1.0,2.0,36.0,1980.0,0.0,0.580454927809098,0.8142923779467267,0.8660254037844386,0.5000000000000001,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,4.826165235092596,8.209999999999999,9.631942161357582,-9.9,-13.415,11.662065803888598,0.0,0.0,8.209999999999999,-24.88297162247313,-28.39797162247313,-3.3971558188571627,4951.9776,5024.669,4978.9044,-2273.28,-1161.6000000000001,-1059.84,19.374684329249945,21.895989464285336,0.0,-17.30666666666667,0.4245333333333354,-17.6,0.0,0.0,0.0,0.0,1.1,2.04,2.4614513988596154,0.0,0.0,-1.6000000000000003,-2.2000000000000006,1.9253803209056608,1.7108366857264854,0.0,0.0,0.0,1980-02-05
3.0,63.88,77.52,128.0,0.0,0.0,-1.0906885994241091,-4.3,-4.44,62.95,79.82,66.0,3.0,0.0,0.64,-3.2,-2.75,63.08,78.93,64.0,0.0,0.0,0.0,-3.3446070657347393,-2.64,63.933,78.733,-3.2,6.0,12.0,357.0,1979.0,1.0,-0.14144406768794202,0.9899462489023779,-2.4492935982947064e-16,1.0,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,4.6932662788610475,3.8400000000000003,4.86521338205847,-4.3,-1.28,0.0,3.0,0.0,4.9399999999999995,-19.282971622473127,-16.262971622473128,-14.982971622473128,4951.9776,5024.669,4978.9044,-568.32,-181.5,-168.96,0.0,0.0,0.0,-3.276666666666667,1.0180333333333338,-2.75,1.0,3.0,0.0,-17.76,-17.6,-16.56,-5.7083318336481375,0.0,0.0,-7.400000000000001,-6.416666666666667,-5.72,6.016258910794916,1.0,0.0,0.0,1979-12-23
4.0,63.88,77.52,128.0,3.6810733859850417,0.0,39.6,15.48,31.22579887876995,62.95,79.82,66.0,0.0,0.0,38.31,13.36,29.48,63.08,78.93,64.0,0.2826418328076722,3.82,38.5,17.1,33.0,63.933,78.733,27.3,1.0,6.0,158.0,1977.0,0.0,0.4110537546870351,-0.9116111071930239,1.2246467991473532e-16,-1.0,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,24.12,24.950000000000003,21.4,27.54,25.835,27.8,0.0,3.82,26.240000000000002,12.557028377526871,10.852028377526873,12.817028377526873,4951.9776,5024.669,4978.9044,4274.670256513896,1945.68,2112.0,26.7744013783349,63.09412233248287,-64.00779709223463,31.240000000000002,6.195199999999998,31.240000000000002,0.0,41.058335302295745,0.0,-4.44,-2.75,-2.64,0.0,3.0,0.0,4.925545995879218,3.043333333333333,4.6000000000000005,1.6206954807962148,1.0,1.9637163656715475,0.0,1977-06-07
5.0,63.88,77.52,128.0,0.6814266363325738,0.0,12.745727293967661,17.882004572018985,7.962548878910726,62.95,79.82,66.0,0.0,0.0,8.56,2.88,6.16,63.08,78.93,64.0,0.0,0.0,11.0,4.854859737316443,6.48,63.933,78.733,3.8,6.0,12.0,337.0,1978.0,1.0,-0.46706492487743034,0.8842230238742036,-2.4492935982947064e-16,1.0,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,-5.704973463510093,5.680000000000001,7.2789984157148115,13.969371301550362,5.720000000000001,11.0,0.0,0.0,8.120000000000001,-0.9222253203301345,-9.262971622473128,-3.982971622473128,4951.9776,5024.669,4978.9044,1014.3822565138956,406.56,414.72,8.663654559844106,20.66052936965535,0.0,6.32,0.05120000000000009,6.32,0.0,0.0,0.0,24.91095828049582,29.48,33.0,-1.1370626276627807,0.0,1.0833134915965745,8.38776953043709,10.963333333333333,12.280000000000001,5.341819207781835,1.0,1.0849918956447953,0.0,1978-12-03
6.0,63.88,77.52,128.0,2.4397319147284033,0.0,-4.4,-3.238521991931186,-5.76,62.95,79.82,66.0,0.0,0.0,-1.82,13.52,-2.53,63.08,78.93,64.0,3.0,3.25,-2.2,-2.85,-3.24,63.933,78.733,-2.6,5.0,1.0,5.0,1980.0,1.0,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,0.6209731706853219,-15.34,0.6499999999999999,-4.4,5.85,-2.5250000000000004,3.0,3.25,1.03,-19.38297162247313,-9.132971622473129,-17.50797162247313,4951.9776,5024.669,4978.9044,-737.28,-166.98,-207.36,9.043275457254525,27.414097398770494,0.0,-3.8433333333333333,2.8812333333333333,-3.24,1.5,4.5,1.5,7.027741830090547,6.16,6.48,55.024060065292325,0.0,0.0,9.08973740102816,11.036666666666667,12.08,5.517334747583815,0.0,20.193441046026216,0.0,1980-01-05
7.0,63.88,77.52,128.0,0.0,0.0,1.1,-1.5352189603785231,18.72,62.95,79.82,66.0,0.0,0.0,3.96,-7.92,-4.4,63.08,78.93,64.0,0.0,0.0,3.3,-4.826606751348606,-3.96,63.933,78.733,-1.2,5.0,12.0,339.0,1976.0,1.0,-0.4363729641045924,0.8997658785476209,-2.4492935982947064e-16,1.0,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,6.152529083389944,11.879999999999999,9.56119456770822,1.1,-1.98,3.3,0.0,0.0,11.879999999999999,-13.882971622473129,-16.962971622473127,-11.68297162247313,4951.9776,5024.669,4978.9044,2396.16,-290.40000000000003,-253.44,0.0,0.0,0.0,3.453333333333333,174.85173333333333,-3.96,0.0,0.0,0.0,-5.76,-2.53,-3.24,-5.998376660492577,0.0,3.0,1.4748690511819769,-0.25666666666666654,-0.2399999999999999,5.275182489991802,0.0,1.0,0.0,1976-12-04
8.0,63.88,77.52,128.0,2.9290186499261015,0.0,18.925222175900082,18.4,7.2,62.95,79.82,66.0,0.0,0.0,14.55,-0.72,8.8,63.08,78.93,64.0,-0.24050100517375206,0.0,16.5,8.491653728176882,7.104123356749069,63.933,78.733,5.5,2.0,4.0,102.0,1978.0,0.0,0.9831469737221499,-0.1828169249850199,0.8660254037844387,-0.4999999999999998,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,3.676014175395908,15.270000000000001,13.322626033129481,18.4,6.915,16.5,0.0,0.0,17.22,3.4170283775268704,-8.067971622473127,1.5170283775268718,4951.9776,5024.669,4978.9044,921.6,580.8000000000001,428.5838925762989,18.153959853417533,38.038600393375674,-8.11617630642726,8.0,1.2800000000000007,8.0,0.0,93.15669119451162,0.0,18.72,-4.4,-3.96,0.0,0.0,0.0,6.72,0.6233333333333336,3.090837463914438,1.788164609421043,0.0,1.786406605577737,0.0,1978-04-12
9.0,63.88,77.52,128.0,0.6814732063422733,0.0,6.6,5.485984010254619,-2.16,62.95,79.82,66.0,0.0,0.0,7.06,-7.76,35.31,63.08,78.93,64.0,0.0,0.0,5.5,-3.4579740170008804,-1.92,63.933,78.733,-1.0,6.0,11.0,326.0,1976.0,1.0,-0.6250496486104377,0.7805849965070866,-0.5000000000000004,0.8660254037844384,154.72890901204994,113.53105152087696,47.346955736058646,62.0,64.0,2.0,5.931338640466459,14.82,11.495353977121816,6.6,-0.3500000000000001,5.5,0.0,0.0,14.82,-8.382971622473129,-15.332971622473128,-9.482971622473128,4951.9776,5024.669,4978.9044,-276.48,2330.46,-122.88,20.935434050293566,26.540619378720564,0.0,10.410000000000002,465.02189999999996,-1.92,0.0,0.0,0.0,7.2,8.8,11.070130208209243,2.3554822492146474,0.0,1.8254293016205532,7.920000000000001,13.236666666666666,9.540421802465666,6.277531841514099,0.0,0.9863052262349341,0.0,1976-11-21
